seed,source,target,model,budget,strategy,n_train,macro_f1,weighted_f1,mcc,auprc_macro,fp_rate,brier,ece,mcc_best_thr,thr_best,buffer_est,thr_applied,single_class_buffer,fit_s
44,nf2018v2,nfunswv2,rf,0.001,rethreshold,1392,0.0859327442129406,0.9429786488259496,0.0319607573839516,0.4824825535872173,0.9492730277174422,0.0696797066111111,0.1729029166666666,0.0366926149017229,0.0033333333333333,0.0441021510797506,0.0066666666666666,0.0,
44,nf2018v2,nfunswv2,rf,0.01,calibrate,13907,0.490370551571952,0.943678896856096,0.0,0.5369020807445422,0.0,0.0354166433680404,0.0195829020771082,0.2661200613757283,0.063113729235846,,,0.0,
44,nf2018v2,nfunswv2,rf,0.01,rethreshold,13907,0.0718977704897319,0.9429786488259496,0.0366926149017229,0.4824825535872173,0.9645191798048244,0.0696797066111111,0.1729029166666666,0.0366926149017229,0.0033333333333333,0.0345244777482679,0.0033333333333333,0.0,
44,nf2018v2,nfunswv2,rf,0.05,calibrate,69537,0.490370551571952,0.943678896856096,0.0,0.5369020807445422,0.0,0.0352969192290787,0.0277618536233899,0.2661200613757283,0.068490979153237,,,0.0,
44,nf2018v2,nfunswv2,rf,0.05,rethreshold,69537,0.0718977704897319,0.9429786488259496,0.0366926149017229,0.4824825535872173,0.9645191798048244,0.0696797066111111,0.1729029166666666,0.0366926149017229,0.0033333333333333,0.036729052836943,0.0033333333333333,0.0,
44,nf2018v2,nfunswv2,rf,0.1,calibrate,139072,0.490370551571952,0.943678896856096,0.0,0.5369020807445422,0.0,0.035299360041324,0.0276395269331139,0.2661200613757283,0.0683317171328022,,,0.0,
44,nf2018v2,nfunswv2,rf,0.1,rethreshold,139072,0.0718977704897319,0.9429786488259496,0.0366926149017229,0.4824825535872173,0.9645191798048244,0.0696797066111111,0.1729029166666666,0.0366926149017229,0.0033333333333333,0.0373546094236528,0.0033333333333333,0.0,
44,nf2018v2,nftonv2,rf,0.0,zero_shot,249999,0.2416797254868497,0.1772384804071796,-0.1775102725114772,0.5562717218606633,0.1670012043356082,0.5553798455103385,0.6017486920767936,0.2317882940818026,0.0033333333333333,,,,169.0
44,nf2018v2,nftonv2,rf,0.0001,calibrate,213,0.4206219075539693,0.6107334447783608,0.0,0.5087157647649376,1.0,0.1986560812236857,0.1389417539996858,0.3252944963737498,0.6865093109899864,,,0.0,
44,nf2018v2,nftonv2,rf,0.0001,rethreshold,213,0.5635151453728111,0.1772384804071796,0.2208508518550419,0.5562717218606633,0.2761395569504762,0.5553798455103385,0.6017486920767936,0.2317882940818026,0.0033333333333333,0.2429497968618125,0.1433333333333333,0.0,
44,nf2018v2,nftonv2,rf,0.001,calibrate,2100,0.4206219075539693,0.6107334447783608,0.0,0.5087157647649376,1.0,0.1985758295974112,0.1568580356292475,0.3252944963737498,0.6568714018208354,,,0.0,
44,nf2018v2,nftonv2,rf,0.001,rethreshold,2100,0.5657683268219661,0.1772384804071796,0.2210572919822577,0.5562717218606633,0.2825444326849385,0.5553798455103385,0.6017486920767936,0.2317882940818026,0.0033333333333333,0.22919926737776,0.14,0.0,
44,nf2018v2,nftonv2,rf,0.01,calibrate,21000,0.4206219075539693,0.6107334447783608,0.0,0.5087157647649376,1.0,0.198646364237869,0.1304392818704138,0.3252944963737498,0.6829177268779094,,,0.0,
44,nf2018v2,nftonv2,rf,0.01,rethreshold,21000,0.6148765935917866,0.1772384804071796,0.2317882940818026,0.5562717218606633,0.5159848180723331,0.5553798455103385,0.6017486920767936,0.2317882940818026,0.0033333333333333,0.234715834084798,0.0033333333333333,0.0,
44,nf2018v2,nftonv2,rf,0.05,calibrate,105000,0.4206219075539693,0.6107334447783608,0.0,0.5087157647649376,1.0,0.1986285451167873,0.1331587949653287,0.3252944963737498,0.6784682925786757,,,0.0,
44,nf2018v2,nftonv2,rf,0.05,rethreshold,105000,0.6148765935917866,0.1772384804071796,0.2317882940818026,0.5562717218606633,0.5159848180723331,0.5553798455103385,0.6017486920767936,0.2317882940818026,0.0033333333333333,0.233946086034295,0.0033333333333333,0.0,
44,nf2018v2,nftonv2,rf,0.1,calibrate,210000,0.4206219075539693,0.6107334447783608,0.0,0.5087157647649376,1.0,0.198629437750246,0.1332178013305319,0.3252944963737498,0.6786867874444243,,,0.0,
44,nf2018v2,nftonv2,rf,0.1,rethreshold,210000,0.6148765935917866,0.1772384804071796,0.2317882940818026,0.5562717218606633,0.5159848180723331,0.5553798455103385,0.6017486920767936,0.2317882940818026,0.0033333333333333,0.2352340471499838,0.0033333333333333,0.0,
44,nf2018v2,nfbotv2,rf,0.0,zero_shot,249999,0.0503168315502609,0.0915215856685512,0.0142040289138937,0.5093979465376237,0.00119189511323,0.6059687658333335,0.7510819499999999,0.1323465603150709,0.03,,,,169.0
44,nf2018v2,nfbotv2,rf,0.0001,calibrate,211,0.4989490456231946,0.9937119087536106,0.0,0.5052236912770545,1.0,0.0041776907593428,0.000598669156547,0.0893361022465892,0.9951981990918276,,,0.0,
44,nf2018v2,nfbotv2,rf,0.0001,rethreshold,211,0.1349357936906871,0.0915215856685512,-0.0796967434885881,0.5093979465376237,0.600715137067938,0.6059687658333335,0.7510819499999999,0.1323465603150709,0.03,0.0291768784616363,0.28,0.0,
44,nf2018v2,nfbotv2,rf,0.001,calibrate,2101,0.4989490456231946,0.9937119087536106,0.0,0.5052236912770545,1.0,0.004176897198094,4.194170398030828e-05,0.0893361022465892,0.995689169796566,,,0.0,
44,nf2018v2,nfbotv2,rf,0.001,rethreshold,2101,0.0508847621217875,0.0915215856685512,0.002173205776667,0.5093979465376237,0.0417163289630512,0.6059687658333335,0.7510819499999999,0.1323465603150709,0.03,0.0154170445435352,0.3966666666666666,0.0,
44,nf2018v2,nfbotv2,rf,0.01,calibrate,21000,0.4989490456231946,0.9937119087536106,0.0,0.5052236912770545,1.0,0.0041770428167695,8.958345168874615e-05,0.0893361022465892,0.9958015612277028,,,0.0,
44,nf2018v2,nfbotv2,rf,0.01,rethreshold,21000,0.5421887768560408,0.0915215856685512,0.1253336826604055,0.5093979465376237,0.9499404052443384,0.6059687658333335,0.7510819499999999,0.1323465603150709,0.03,0.1492373124721232,0.02,0.0,
44,nf2018v2,nfbotv2,rf,0.05,calibrate,105000,0.4989490456231946,0.9937119087536106,0.0,0.5052236912770545,1.0,0.0041769593515984,1.1787199716284393e-05,0.0893361022465892,0.995701537554168,,,0.0,
44,nf2018v2,nfbotv2,rf,0.05,rethreshold,105000,0.5458260493310652,0.0915215856685512,0.1323465603150709,0.5093979465376237,0.9451728247914184,0.6059687658333335,0.7510819499999999,0.1323465603150709,0.03,0.1533198622090424,0.03,0.0,
44,nf2018v2,nfbotv2,rf,0.1,calibrate,210001,0.4989490456231946,0.9937119087536106,0.0,0.5052236912770545,1.0,0.0041770864478573,2.0404696480347265e-05,0.0893361022465892,0.9956879979216464,,,0.0,
44,nf2018v2,nfbotv2,rf,0.1,rethreshold,210001,0.5458260493310652,0.0915215856685512,0.1323465603150709,0.5093979465376237,0.9451728247914184,0.6059687658333335,0.7510819499999999,0.1323465603150709,0.03,0.1525385318164357,0.03,0.0,
