seed,source,target,model,budget,buffer_est,cv_est,cv_mode,rt,bo,chose_rt,realised,oracle,regret,always_retrain,correct
42,nf2018v2,nfunswv2,mlp,0.001,0.2905259900124515,0.7908960655068893,cv3,0.2036713783107234,0.8724595041636478,0,0.8724595041636478,0.8724595041636478,0.0,0.0,True
42,nf2018v2,nfunswv2,mlp,0.01,0.2091588638122603,0.7661062013611503,cv3,0.2058028226645409,0.9020094267814196,0,0.9020094267814196,0.9020094267814196,0.0,0.0,True
42,nf2018v2,nfunswv2,mlp,0.05,0.2102444723666821,0.9224710425152044,cv3,0.205829919927193,0.9212390576675296,0,0.9212390576675296,0.9212390576675296,0.0,0.0,True
42,nf2018v2,nfunswv2,mlp,0.1,0.2111112660311256,0.934792975700554,cv3,0.2058331991060641,0.9232569489766432,0,0.9232569489766432,0.9232569489766432,0.0,0.0,True
42,nf2018v2,nftonv2,mlp,0.0001,0.249986149805007,0.6409580430424441,cv3,0.2074377733811745,0.6570746325098591,0,0.6570746325098591,0.6570746325098591,0.0,0.0,True
42,nf2018v2,nftonv2,mlp,0.001,0.2192729864575908,0.8965124836895993,cv3,0.203966766535336,0.9079778559277176,0,0.9079778559277176,0.9079778559277176,0.0,0.0,True
42,nf2018v2,nftonv2,mlp,0.01,0.2106606254834373,0.9213493458190616,cv3,0.2076706225783736,0.9356558783057712,0,0.9356558783057712,0.9356558783057712,0.0,0.0,True
42,nf2018v2,nftonv2,mlp,0.05,0.2096268960577723,0.9467083542416328,cv3,0.2133471575291604,0.943495210597836,0,0.943495210597836,0.943495210597836,0.0,0.0,True
42,nf2018v2,nftonv2,mlp,0.1,0.2121324349700386,0.9503915586738002,cv3,0.2133817210757615,0.953793840451774,0,0.953793840451774,0.953793840451774,0.0,0.0,True
42,nf2018v2,nfbotv2,mlp,0.0001,1.0,1.0,resub,0.3957104228167786,0.0852131190162651,0,0.0852131190162651,0.3957104228167786,0.3104973038005135,0.3104973038005135,False
42,nf2018v2,nfbotv2,mlp,0.001,0.3991793405186802,0.1353999457001672,cv3,0.3962723776669913,0.6500893936409267,1,0.3962723776669913,0.6500893936409267,0.25381701597393536,0.0,False
42,nf2018v2,nfbotv2,mlp,0.01,0.4094817773967338,0.4650715033761727,cv3,0.4042546512196548,0.7544048080784458,0,0.7544048080784458,0.7544048080784458,0.0,0.0,True
42,nf2018v2,nfbotv2,mlp,0.05,0.4003028558878547,0.8034093705210873,cv3,0.4080224050450424,0.8074495526479445,0,0.8074495526479445,0.8074495526479445,0.0,0.0,True
42,nf2018v2,nfbotv2,mlp,0.1,0.4077120005243048,0.8884361537207258,cv3,0.4080224050450424,0.932578450959186,0,0.932578450959186,0.932578450959186,0.0,0.0,True
42,nfunswv2,nf2018v2,rf,0.0001,0.3373513874170664,0.8878696366260774,cv3,0.2694436714577415,0.945363583798542,0,0.945363583798542,0.945363583798542,0.0,0.0,True
42,nfunswv2,nf2018v2,rf,0.001,0.28133058160645,0.9703293357412658,cv3,0.2797040700738926,0.9617495449421696,0,0.9617495449421696,0.9617495449421696,0.0,0.0,True
42,nfunswv2,nf2018v2,rf,0.01,0.2799797027432767,0.9735786548371088,cv3,0.2797040700738926,0.972867491168671,0,0.972867491168671,0.972867491168671,0.0,0.0,True
42,nfunswv2,nf2018v2,rf,0.05,0.2810892844662703,0.9745410559587144,cv3,0.2797040700738926,0.9759352351671404,0,0.9759352351671404,0.9759352351671404,0.0,0.0,True
42,nfunswv2,nf2018v2,rf,0.1,0.2807658973364745,0.975817148913902,cv3,0.2797040700738926,0.9769556813096164,0,0.9769556813096164,0.9769556813096164,0.0,0.0,True
42,nfunswv2,nftonv2,rf,0.0001,0.5406433747126563,0.8317509721471161,cv3,0.544699207411913,0.8729442246372302,0,0.8729442246372302,0.8729442246372302,0.0,0.0,True
42,nfunswv2,nftonv2,rf,0.001,0.554186742688193,0.9291181068479296,cv3,0.5648249566571932,0.9356466158206888,0,0.9356466158206888,0.9356466158206888,0.0,0.0,True
42,nfunswv2,nftonv2,rf,0.01,0.564337124283169,0.96059874035726,cv3,0.5648249566571932,0.966984422109598,0,0.966984422109598,0.966984422109598,0.0,0.0,True
42,nfunswv2,nftonv2,rf,0.05,0.5668817503752015,0.976413349956983,cv3,0.5648249566571932,0.9798130676390084,0,0.9798130676390084,0.9798130676390084,0.0,0.0,True
42,nfunswv2,nftonv2,rf,0.1,0.5654829029131992,0.9800184788845696,cv3,0.5648249566571932,0.9824624469465004,0,0.9824624469465004,0.9824624469465004,0.0,0.0,True
42,nfunswv2,nfbotv2,rf,0.0001,0.0748095274031311,1.0,resub,-0.0509413209851375,0.216992622689214,0,0.216992622689214,0.216992622689214,0.0,0.0,True
42,nfunswv2,nfbotv2,rf,0.001,0.3315033792969687,0.6858893278688257,cv3,0.1978673650392327,0.7254914102759167,0,0.7254914102759167,0.7254914102759167,0.0,0.0,True
