seed,source,target,model,budget,strategy,n_train,macro_f1,weighted_f1,mcc,auprc_macro,fp_rate,brier,ece,mcc_best_thr,thr_best,buffer_est,cv_est,cv_mode,n_pseudo,n_benign_buf,fit_s
42,nf2018v2,nfbotv2,rf,0.001,insomnia,10137,0.3511978391211903,0.6847857642316733,0.04825275921719617,0.5026162759985721,0.15137067938021453,0.4813711712777779,0.5422366833333333,0.05462281416751758,0.57,,,,8037,106,1
42,nf2018v2,nfunswv2,lgbm,0.0001,selector_v2,144,0.5229656159971565,0.9463616587623261,,0.4971670698700526,0.0008210265950260339,0.038379585545913496,0.03917741717952016,0.14038199353569736,0.6269026400140946,0.30611483744878115,0.8717152353914989,cv3,,134,
42,nf2018v2,nfunswv2,lgbm,0.0001,finetune,250143,0.8695436521086501,0.9809802053259952,0.7390972884222063,0.8287419910622216,0.010101744941332973,0.01883963915263052,0.018678308841214446,0.7407754190569573,0.9614341269237331,,,,,134,1
42,nf2018v2,nfunswv2,lgbm,0.0001,iw_augment,250143,0.8020468142118771,0.9739887333024158,0.6262344423391895,0.8935187903998277,0.004151900312821526,0.0178888345529975,0.015480441910532109,0.8134361841640626,0.02036246011958312,,,,,134,3
42,nf2018v2,nfunswv2,lgbm,0.001,selector_v2,1392,0.5229656159971565,0.9463616587623261,,0.4971670698700526,0.0008210265950260339,0.038379585545913496,0.03917741717952016,0.14038199353569736,0.6269026400140946,0.3602200772402529,0.848410526924862,cv3,,1338,
42,nf2018v2,nfunswv2,lgbm,0.001,finetune,251391,0.6444517253558981,0.9469075386042891,0.289419452365592,0.5677242210581419,0.030481911433055155,0.0515114909131426,0.05059106522513612,0.3480512770853067,0.9999995398479281,,,,,1338,1
42,nf2018v2,nfunswv2,lgbm,0.001,iw_augment,251391,0.9316474736518936,0.9901066223699516,0.8633442133299878,0.9215668899590239,0.004718304735972397,0.00797548107836199,0.0036314497696201876,0.8871817281899911,0.20602700547913802,,,,,1338,3
42,nf2018v2,nfunswv2,lgbm,0.01,selector_v2,13907,0.5229656159971565,0.9463616587623261,,0.4971670698700526,0.0008210265950260339,0.038379585545913496,0.03917741717952016,0.14038199353569736,0.6269026400140946,0.28926567533250286,0.9288510975947402,cv3,,13382,
42,nf2018v2,nfunswv2,lgbm,0.01,finetune,263906,0.8946318692723275,0.985188259816834,0.7917033963371548,0.8551619612159842,0.004687126510844826,0.01396038571926357,0.013656003276131161,0.7928214714906443,0.832888469050492,,,,,13382,1
42,nf2018v2,nfunswv2,lgbm,0.01,iw_augment,263906,0.9656262249697414,0.9949576762748592,0.9314072875397522,0.9785948538562197,0.003341266459504682,0.003926519208748795,0.0009360115092153928,0.9346344497562126,0.41198170823648345,,,,,13382,5
42,nf2018v2,nfunswv2,lgbm,0.05,selector_v2,69537,0.5229656159971565,0.9463616587623261,,0.4971670698700526,0.0008210265950260339,0.038379585545913496,0.03917741717952016,0.14038199353569736,0.6269026400140946,0.2581817078106814,0.9413234193205957,cv3,,66908,
42,nf2018v2,nfunswv2,lgbm,0.1,selector_v2,139072,0.5229656159971565,0.9463616587623261,,0.4971670698700526,0.0008210265950260339,0.038379585545913496,0.03917741717952016,0.14038199353569736,0.6269026400140946,0.2587783625254428,0.9487979370298759,cv3,,133817,
42,nf2018v2,nfunswv2,lgbm,0.0001,al_iterative,138,0.8776639592389068,0.98266226092491,0.7566484293516409,0.8702646381918996,0.006677336548154769,0.015455377607341544,0.014132126815361544,0.7749015501811479,0.10689450145804395,,,,,91,0
42,nf2018v2,nfunswv2,lgbm,0.0001,insomnia,50139,0.5072360921266565,0.9449392072926506,0.08792964944687781,0.5064032749984375,0.000691117323661155,0.03779291634524063,0.037793823944073615,0.09041310009492723,1.0,,,,50000,135,2
42,nf2018v2,nfunswv2,lgbm,0.001,al_iterative,1389,0.9631933227842508,0.9946157623242505,0.9264571719038199,0.9764291657358911,0.0032841063801041354,0.004701702563741961,0.004261194164724662,0.9309352082092572,0.007596114676896721,,,,,769,1
42,nf2018v2,nfunswv2,lgbm,0.001,insomnia,51391,0.5323921265191545,0.9472811008921106,0.16994005523616268,0.5181887854634722,0.000758670144770892,0.03683890609839971,0.03683854291309581,0.17543736675279503,4.5119637335178914e-73,,,,50000,1280,2
42,nf2018v2,nftonv2,lgbm,0.0001,selector_v2,213,0.39051857471335655,0.37414445234653504,,0.6894333094193617,0.17501186088098974,0.5689354021866492,0.5671041344722695,0.4771420726765807,0.0002351938611200748,0.4055092844041108,0.8436747689238814,cv3,,58,
42,nf2018v2,nftonv2,lgbm,0.0001,finetune,250212,0.8859476119419712,0.9075460136637961,0.7746741613829565,0.9059557206761886,0.1113827962483121,0.08619784438686831,0.07670691572704258,0.777114238790014,0.40213191704919354,,,,,58,1
42,nf2018v2,nftonv2,lgbm,0.0001,iw_augment,250212,0.8176208370707667,0.8508453243424988,0.6406421886982083,0.8458363709052981,0.18946388817926352,0.13193281948231908,0.08784851975893641,0.7034779473008161,0.031121138255304593,,,,,58,3
42,nf2018v2,nftonv2,lgbm,0.001,selector_v2,2100,0.39051857471335655,0.37414445234653504,,0.6894333094193617,0.17501186088098974,0.5689354021866492,0.5671041344722695,0.4771420726765807,0.0002351938611200748,0.4707003324178225,0.9289197669682926,cv3,,575,
42,nf2018v2,nftonv2,lgbm,0.001,finetune,252099,0.9426846611860205,0.9545849356206108,0.8855330742017303,0.9505648490274996,0.09601839348928871,0.041008383125026374,0.036824471897885756,0.8885475402268642,0.22350904936618668,,,,,575,1
42,nf2018v2,nftonv2,lgbm,0.001,iw_augment,252099,0.9130910358711537,0.9312135547846012,0.8264361911194718,0.9602773265839009,0.14194737418342396,0.05685786114881183,0.03705614626340166,0.8271992182313372,0.5301659166726428,,,,,575,5
42,nf2018v2,nftonv2,lgbm,0.01,selector_v2,21000,0.39051857471335655,0.37414445234653504,,0.6894333094193617,0.17501186088098974,0.5689354021866492,0.5671041344722695,0.4771420726765807,0.0002351938611200748,0.4756206462568688,0.9655493210946151,cv3,,5754,
42,nf2018v2,nftonv2,lgbm,0.01,finetune,270999,0.9644958128997718,0.9717717581800537,0.928997872403198,0.9686932351849759,0.054085617313236745,0.025273670771535136,0.016886635109588877,0.9294234600090229,0.5232713866377239,,,,,5754,1
42,nf2018v2,nftonv2,lgbm,0.01,iw_augment,270999,0.9658931084970568,0.9729816714059596,0.931976499518559,0.9930521183078217,0.06341009452209774,0.021294404477895067,0.006161746068669938,0.9329405584076361,0.6066138877481709,,,,,5754,5
42,nf2018v2,nftonv2,lgbm,0.05,selector_v2,105000,0.39051857471335655,0.37414445234653504,,0.6894333094193617,0.17501186088098974,0.5689354021866492,0.5671041344722695,0.4771420726765807,0.0002351938611200748,0.4798189796909683,0.9766571986917038,cv3,,28771,
